id,doc,POI_ID
0,"It is a tomb with onion shaped dome. It houses the tomb of Safdarjung, the Prime Minister during Mughal ruler Ahmad Shah Bahadur's rule.",0
1,"A huge urban open space with an interesting mix of nature and history. The park contains several historic monuments like Muhammad Shah's Tomb, Bada Gumbad, Sesha Gumbad, Sikandar Lodi's Tomb and Athpula.",1
2,"The huge tomb crowned with a massive dome has an octagonal plan with a octagonal chamber. Each of the eight sides have triple arched entrance and the eight corners are occupied by slopping buttresses. The chamber has doors on seven sides, the lone exception is the western side. The interior of the western wall contains a mihrab, so the tomb can also function as a Mosque. The massive dome stands on a sixteen sided drum and is crowned with a sprawling lotus. The dome is flanked by eight chatris, each of which occupy the mid point of the eight sides. The interior contains seven graves, the central one is believed to be of Muhammad Shah. The interior of the dome has a colourful fresco. The mihrab contains decorative stucco work so does the other seven arched gates. Short tapering minarates on the two back corners and jhakoraha (oriel) windows on the north and south ends are some special architectural features of the Bada Gumbad Mosque. Opposite the mosque is an elongated hall, which served as a sarai or guest house. Ir is devoid of any ornamentation and is a striking contrast with the mosque.",2
3,"Lodi Period Mosque is a small red mosque with a triple arched entrance. Although small in size it has an elegant appearance. It was once housed within a walled complex but majority of the boundary wall have long disappeared. The mosque is crowned with a vaulted roof, with stucco ornamentation.",3
4,"Bada Gumbad or large dome is probably the most imposing structure of Lodi Gardens. The structure stands on a square base topped with a huge dome. Although the structure looks two storied from the outside it is actually a single storied structure. It is built of grey sandstone with traces of black and red stones. On the north west corner is a mosque and on the north east corner is a sarai (guest house). Some historians believe that the Bada Gumbad served as a gate way to the mosque, while other believe it was a tomb. Sadly the occupant of this magnificent tomb can no longer be traced, but he was quiet likely to be an high official of Sikandar Lodi's court. The three domed mosque is approached from the east by five arched gateway. The central arch is the largest and the arches diminish in size as one moves away from the centre. The mosque is built in 1494 and is richly ornamented with stuccoes and frescoes. The stuccoes consists of elaborate geometrical designs and inscriptions from the Koran.",4
5,"Sheesh Gumbad, was a similar structure to Bada Gumbad and is located just south of it. It literally meaning glazed dome, and the structure was once covered with glazed tiles, but majority of it has gone missing. The interior of the Sheesh Gumbad houses several graves but the occupants can lo longer be traced. The western wall of Sheesh Gumbad has a mihrab, so the tombed doubled up as a mosque.",5
6,"The 8.5-m Lodi Period Turret probably served as a corner tower of a walled enclosure, but the walls have long vanished. The two leveled tower is crowned with a ribbed dome. The lower level contains the doorway and stairs lead to the second level containing a decorated Jharokha (Oriel) styled balcony.",6
7,"The small mosque and a small gateway stands on the north east of Sheesha Gumbad. Both the structure date back to the Mughaal Period. The gateway probably served as an entrance to walled garden, sadly the walls no longer exist. The double storied arched gateway is topped with a Bengal type sloped roof. Next to the gateway is a small mosque with arched entrance and crowned with three domes. The mosque is devoid of ornamentation, and has a platform on its eastern side.",7
8,"The Tomb of Sikandar Lodi is similar in structure to the Muhammad Shah's Tomb, but is housed in side a walled complex. The tomb is octagonal with triple arched entrance on all sides and sloping buttress at the corners, however there are no chatris round the giant dome.",8
9,"The Athpul, literally meaning eight bridge, consists of seven arches supported by eight pillars. The bridge spans over a water body and is still in use. Visitors entering the Lodi Gardens from the north east gate uses the bridge.",9
